sim_time_s,v_bus_v,soc_pct,i_batt_a,p_batt_w,p_load_w,p_source_w,source_at_limit,p_batt_ref_w,state_code,charge_headroom_w,p_load_nominal_w,voltage_error_v,llm_mode_code,llm_requested_power_w,llm_command_valid,llm_command_seq,llm_command_age_s
90.961,400.000000000006,15.0080414312808,0.0593749999999991,24.9999999912732,-500.000000000008,476.250000001669,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.962,400.000000000003,15.0080413805067,0.0593749999999996,24.9999999912732,-500.000000000004,476.250000001778,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.963,400,15.0080413297327,0.059375,24.9999999912731,-500,476.250000001902,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.964,400,15.0080412789586,0.0593750000000001,24.9999999912732,-500,476.250000001906,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.965,400,15.0080412281845,0.0593750000000001,24.9999999912732,-500,476.250000001912,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.966,400,15.0080411774105,0.0593750000000001,24.9999999912732,-499.999999999999,476.250000001917,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.967,399.999999999999,15.0080411266364,0.0593750000000001,24.9999999912731,-499.999999999999,476.250000001922,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.968,399.999999999999,15.0080410758623,0.0593750000000001,24.9999999912732,-499.999999999999,476.250000001928,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.969,399.999999999999,15.0080410250883,0.0593750000000001,24.9999999912732,-499.999999999999,476.250000001934,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.97,399.999999999999,15.0080409743142,0.0593750000000002,24.9999999912732,-499.999999999999,476.250000001941,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.971,399.999999999999,15.0080409235402,0.0593750000000002,24.9999999912731,-499.999999999999,476.250000001947,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.972,399.999999999999,15.0080408727661,0.0593750000000002,24.9999999912732,-499.999999999999,476.250000001954,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.973,399.999999999999,15.008040821992,0.0593750000000002,24.9999999912732,-499.999999999998,476.250000001961,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.974,399.999999999999,15.008040771218,0.0593750000000002,24.9999999912731,-499.999999999998,476.250000001968,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
